"file","Block","Sentence","Speaker","Word","scoreMax_synchrony","scoreMean_synchrony","scoreMax_syncRel","scoreMean_syncRel","scoreMax_Mass","scoreMean_Mass","scoreMax_scaling","scoreMean_scaling","scoreMax_scaleRel","scoreMean_scaleRel","scoreMax_massXsync","scoreMean_massXsync","scoreMax_massXscale","scoreMean_massXscale","scoreMax_massXf0","scoreMean_massXf0"
"1-10-08_drbieber",1,10,8,"kollegen",11,1.33333333333333,6.548,4.01933333333333,1.47,0.976666666666667,46.835878669548,23.2101613996847,12.121,6.00666666666667,5.75652,3.37191333333333,5.07885,3.59637666666667,10.83537,6.96829
"1-10-08_drbieber",1,10,8,"möchten",-2,-4.5,5.512,3.855,0.98,0.68,-5.10036317784201,-32.275566349351,15.385,8.3525,3.62894,2.3231,4.93332,2.88732,8.56226,5.21042
"1-10-08_drbieber",1,10,8,"doktor",0,-1,1.515,0.7575,0.53,0.455,-4.61375098512698,-4.69705125300299,1.237,1.2155,0.88578,0.70789,1.13102,0.97629,1.70734,1.68418
"1-10-08_drbieber",1,10,8,"bieber",5,1.5,3.226,2.191,1.54,1.195,29.060139191556,24.1506141480995,7.521,6.25,3.24632,2.931735,5.5132,4.495275,8.75952,7.42701
"1-10-08_drbieber",1,10,8,"gerne",9,9,4.918,4.918,2.22,2.22,11.971758360237,11.971758360237,3.098,3.098,7.9143,7.9143,6.7377,6.7377,14.652,14.652
"1-10-08_drbieber",1,10,8,"als",-1,-3,2.793,2.1655,1.86,0.965,20.667707648174,-5.6027002239315,8.249,6.799,5.43678,2.80043,6.82062,3.557625,12.2574,6.358055
"1-10-08_drbieber",1,10,8,"neuen",-4,-4,1.439,1.439,2.18,2.18,-32.863802020327,-32.863802020327,8.505,8.505,4.98348,4.98348,9.26282,9.26282,14.2463,14.2463
"1-10-08_drbieber",1,10,8,"arzt",4,2.5,1.86,1.615,1.34,0.69,36.955501887424,8.6569222575455,9.564,7.3235,3.37144,1.73062,4.8307,2.50337,8.20214,4.23399
"1-10-08_drbieber",1,10,8,"in",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1-10-08_drbieber",1,10,8,"ihrem",4,3,2.128,1.965,1.14,0.9,23.954374806981,15.879803793395,6.199,4.1095,3.0153,2.32803,2.9583,2.74899,5.9736,5.07702
"1-10-08_drbieber",1,10,8,"krankenhaus",0,-2.33333333333333,3.247,1.89533333333333,1.12,0.666666666666667,-9.105194102231,-25.7347571474883,11.236,6.65966666666667,3.45632,1.50484,5.16656,2.56590666666667,8.62288,4.07074666666667
"1-10-08_drbieber",1,10,8,"einstellen",4,0,2.073,2.0075,0.92,0.84,2.88131289925701,-2.9892313199925,2.293,1.5195,2.35244,2.17182,2.50148,1.93626,4.85392,4.10808
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"schon",-7,-7,4.487,4.487,1.28,1.28,-51.954054334696,-51.954054334696,13.445,13.445,4.42368,4.42368,6.21056,6.21056,10.63424,10.63424
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"seit",-2,-2,1.307,1.307,1.33,1.33,-16.301243361631,-16.301243361631,4.219,4.219,2.93398,2.93398,4.50072,4.50072,7.4347,7.4347
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"wochen",6,-4.5,8.621,5.932,1.47,1.34,31.18761925395,-4.0174149057015,10.15,9.1105,5.16186,4.848405,6.14607,5.78283,10.68102,10.631235
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"freuen",-2,-2,0.722,0.722,2,2,-10.7698412126438,-10.7698412126438,2.787,2.787,3.568,3.568,5.842,5.842,9.41,9.41
"1-11-11_PB_4txtgiven-lawine2_03",1,11,11,"sie",-1,-1,0.926,0.926,0.61,0.61,-3.5058880566569,-3.5058880566569,0.907,0.907,1.18706,1.18706,1.17791,1.17791,2.36497,2.36497
